total_bosses_per_1000;total_workers_per_1000;race;year;pct_bosses_total;pct_workers_total;cv_pct_bosses
3035;92333;white;2018;68,6;45,2; 1,5 
3035;92333;black;2018;29,9;53,7; 3,3 
3294;91073;white;2017;68;45,9; 1,4 
3294;91073;black;2017;29,8;53,1; 3,4 
3516;90776;white;2016;71,3;46,6; 1,6 
3516;90776;black;2016;27,2;52,5; 4,0 
3650;92163;white;2015;70,3;47,2; 1,2 
3650;92163;black;2015;28,2;52,1; 3,1 
3600;91945;white;2014;69,4;47,9; 1,2 
3600;91945;black;2014;28,7;51,3; 2,7 
3450;90715;white;2013;70,1;48,1; 1,1 
3450;90715;black;2013;28,2;51,1; 2,8 
3516;90776;white;2012;71,3;46,6; 1,6 
3516;90776;black;2012;27,2;52,5; 4,0 
